# 6442, 1590253813
#  dongle_time, rssi, ch, mac, adv_packet                                                          
    3649003,-83,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3651275,-70,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3651296,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3651317,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3651337,-86,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3651358,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3651379,-70,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3651400,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3651421,-83,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3651441,-86,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3651462,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3651483,-70,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3651504,-79,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD000000407F0100000000000000000000000019C0
    3651525,-83,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040580100000000000000000000000019C0
    3651546,-85,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040520100000000000000000000000019C0
    3651566,-84,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3651588,-70,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3653863,-84,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3653922,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3653943,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3653965,-85,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3654025,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3654046,-76,38,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3654073,-85,38,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3654128,-75,38,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3656391,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3656412,-84,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3656432,-90,39,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3656453,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3656474,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3656496,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3656516,-85,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3656547,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3656568,-86,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3656598,-85,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3656619,-84,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3656653,-76,39,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3656673,-85,39,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3656701,-85,39,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3656722,-84,39,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3658974,-68,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3658995,-82,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3659016,-78,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3659037,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3659078,-68,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3659099,-83,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
    3659120,-78,37,EE:AD:79:D5:11:BD,02010403036FFD17166FFD00000040530100000000000000000000000019C0
    3659140,-82,37,E9:C8:53:63:37:E0,02010403036FFD17166FFD00000040590100000000000000000000000019C0
    3659161,-86,37,E0:79:39:69:36:9F,02010403036FFD17166FFD00000040C80100000000000000000000000019C0
    3659182,-69,37,D2:CE:11:B1:EE:D8,02010403036FFD17166FFD00000040DF0000000000000000000000000019C0
    3659203,-82,37,CA:B2:4D:56:74:AD,02010403036FFD17166FFD00000040800100000000000000000000000019C0
