# 6201, 1589651660
#  dongle_time, rssi, mac, adv_packet                                                              
     835348, -68, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     835375, -72, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040940200000000000000000000000019C0
     837879, -77, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     837900, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     837988, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040130100000000000000000000000019C0
     838009, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     838102, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     840391, -72, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     840415, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     840522, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     840630, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     842922, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     842942, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     843024, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     843044, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     843136, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     845550, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     845571, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     845655, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     845676, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     845771, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040950200000000000000000000000019C0
     848062, -61, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     848167, -60, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     848187, -72, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040140100000000000000000000000019C0
     848268, -59, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     850605, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     850669, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     850706, -69, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     850770, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     850873, -71, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     853147, -78, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     853171, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     853256, -79, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     853279, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     853383, -70, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     855784, -58, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     855804, -71, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
     855891, -61, E0:C1:F2:6C:22:BC, 02010403036FFD17166FFD00000040960200000000000000000000000019C0
     855911, -71, EE:AD:79:D5:11:BD, 02010403036FFD17166FFD00000040150100000000000000000000000019C0
